ID da viagem,Data,Hora,Linha de ônibus,Número de passageiros,Tipo de veículo,Localização de partida,Localização de chegada,Tempo de viagem (minutos),Custo da viagem (R$)
1,2023-06-01,09:31,Linha 505,106,Elétrico,Zona Leste,Zona Oeste,47,4.44
2,2023-04-25,13:44,Linha 303,15,Micro-ônibus,Zona Sul,Zona Sul,72,4.05
3,2023-12-17,10:33,Linha 101,95,Articulado,Zona Leste,Zona Oeste,60,6.15
4,2023-09-08,07:15,Linha 303,102,Micro-ônibus,Zona Sul,Zona Leste,80,4.92
5,2023-12-12,17:19,Linha 101,127,Ônibus convencional,Zona Sul,Zona Norte,56,4.7
6,2023-04-10,10:19,Linha 202,98,Ônibus convencional,Zona Norte,Zona Norte,70,3.88
7,2023-02-23,13:10,Linha 101,107,Elétrico,Zona Oeste,Zona Norte,31,6.68
8,2023-05-01,12:50,Linha 101,88,Micro-ônibus,Zona Oeste,Centro,73,6.8
9,2023-12-10,17:03,Linha 101,48,Micro-ônibus,Zona Norte,Zona Oeste,73,6.28
10,2023-09-16,14:17,Linha 303,49,Ônibus convencional,Zona Leste,Zona Oeste,54,4.17
11,2023-03-16,07:05,Linha 404,87,Ônibus convencional,Zona Sul,Centro,90,7.34
12,2023-04-24,19:15,Linha 303,82,Micro-ônibus,Zona Sul,Zona Leste,79,3.63
13,2023-05-26,09:08,Linha 202,115,Articulado,Zona Leste,Zona Norte,45,4.91
14,2023-08-14,16:24,Linha 303,7,Micro-ônibus,Zona Oeste,Zona Leste,33,4.35
15,2023-12-23,08:53,Linha 404,79,Micro-ônibus,Zona Norte,Zona Leste,51,3.8
16,2023-03-29,14:29,Linha 202,82,Articulado,Zona Sul,Zona Leste,19,5.06
17,2023-04-22,18:27,Linha 303,12,Articulado,Zona Sul,Centro,47,4.67
18,2023-09-26,08:00,Linha 101,93,Micro-ônibus,Zona Sul,Zona Norte,75,4.87
19,2023-01-30,13:29,Linha 404,119,Elétrico,Centro,Zona Norte,32,6.71
20,2023-08-02,18:11,Linha 101,63,Elétrico,Zona Oeste,Zona Leste,18,7.29
21,2023-02-04,14:36,Linha 505,29,Micro-ônibus,Zona Norte,Centro,87,5.55
22,2023-07-07,18:02,Linha 505,139,Micro-ônibus,Centro,Zona Norte,25,5.62
23,2023-08-31,19:25,Linha 101,85,Ônibus convencional,Zona Oeste,Zona Sul,88,4.48
24,2023-03-20,21:28,Linha 202,73,Elétrico,Zona Sul,Zona Oeste,59,4.59
25,2023-06-24,16:29,Linha 505,23,Elétrico,Zona Sul,Centro,78,5.36
26,2023-03-16,16:37,Linha 404,87,Elétrico,Zona Leste,Zona Leste,58,5.4
27,2023-03-07,20:30,Linha 101,111,Elétrico,Zona Oeste,Zona Sul,67,7.32
28,2023-08-10,15:17,Linha 101,138,Micro-ônibus,Zona Oeste,Zona Leste,78,5.1
29,2023-09-06,15:26,Linha 202,109,Elétrico,Zona Norte,Zona Norte,13,5.08
30,2023-12-24,08:05,Linha 202,51,Elétrico,Zona Norte,Zona Sul,60,5.61
31,2023-11-17,19:59,Linha 505,110,Ônibus convencional,Zona Leste,Centro,90,6.08
32,2023-06-24,17:24,Linha 202,89,Articulado,Zona Leste,Zona Leste,14,5.98
33,2023-12-26,19:52,Linha 202,34,Articulado,Zona Norte,Centro,62,5.1
34,2023-03-11,11:22,Linha 404,80,Ônibus convencional,Zona Norte,Zona Norte,60,5.73
