ID da viagem,Data,Hora,Linha de ônibus,Número de passageiros,Tipo de veículo,Localização de partida,Localização de chegada,Tempo de viagem,Custo da viagem
1,2023-10-21,18:09,Linha 101,116,Articulado,Zona Sul,Zona Norte,31,7.05
2,2023-08-25,14:32,Linha 202,54,Articulado,Centro,Zona Leste,76,8.5
3,2023-08-27,22:32,Linha 505,19,Micro-ônibus,Centro,Zona Oeste,73,8.65
4,2023-01-06,03:19,Linha 505,44,Ônibus convencional,Zona Oeste,Zona Sul,52,7.7
5,2023-04-01,01:02,Linha 101,62,Ônibus convencional,Zona Sul,Zona Norte,69,8.95
6,2023-02-04,22:36,Linha 303,17,Micro-ônibus,Zona Oeste,Centro,35,5.95
7,2023-10-18,11:36,Linha 505,10,Micro-ônibus,Centro,Zona Oeste,64,8.2
8,2023-12-23,13:42,Linha 404,26,Elétrico,Zona Sul,Zona Leste,89,10.45
9,2023-10-18,06:23,Linha 202,19,Elétrico,Centro,Zona Leste,82,8.8
10,2023-05-12,21:49,Linha 202,61,Ônibus convencional,Centro,Zona Leste,45,6.95
11,2023-08-01,19:23,Linha 303,122,Articulado,Zona Norte,Zona Oeste,62,8.8
12,2023-08-18,19:56,Linha 505,44,Elétrico,Zona Oeste,Zona Sul,14,5.9
13,2023-08-15,16:07,Linha 404,21,Ônibus convencional,Zona Leste,Centro,85,8.45
14,2023-04-27,09:53,Linha 505,21,Ônibus convencional,Centro,Zona Oeste,35,6.75
15,2023-12-03,13:21,Linha 404,33,Ônibus convencional,Zona Sul,Zona Leste,87,10.35
16,2023-08-01,15:15,Linha 505,86,Articulado,Zona Oeste,Zona Sul,71,9.95
17,2023-03-04,08:03,Linha 202,64,Elétrico,Centro,Zona Leste,18,5.6
18,2023-12-06,09:15,Linha 202,67,Articulado,Centro,Zona Leste,13,5.35
19,2023-01-01,10:11,Linha 101,45,Elétrico,Zona Sul,Zona Norte,87,9.85
20,2023-07-17,07:16,Linha 404,250,Articulado,Zona Leste,Centro,17,6.05
21,2023-04-26,03:33,Linha 202,36,Elétrico,Centro,Zona Leste,18,5.6
22,2023-03-29,01:46,Linha 303,34,Ônibus convencional,Zona Norte,Zona Oeste,75,9.45
23,2023-03-04,07:26,Linha 101,114,Articulado,Centro,Zona Sul,58,7.4
24,2023-05-19,15:32,Linha 505,48,Ônibus convencional,Zona Oeste,Zona Sul,89,9.55
25,2023-01-08,02:29,Linha 303,61,Ônibus convencional,Zona Norte,Zona Oeste,15,6.45
26,2023-05-22,15:04,Linha 404,22,Micro-ônibus,Zona Sul,Zona Leste,85,10.25
27,2023-09-20,23:50,Linha 303,54,Ônibus convencional,Zona Norte,Zona Oeste,53,8.35
28,2023-03-03,22:25,Linha 505,9,Micro-ônibus,Zona Oeste,Zona Sul,88,10.9
